country,date,year,mth,bts,t
BRA,2015-01-15,2015,1,253830,1
BRA,2015-02-15,2015,2,239704,2
BRA,2015-03-15,2015,3,277538,3
BRA,2015-04-15,2015,4,263587,4
BRA,2015-05-15,2015,5,269031,5
BRA,2015-06-15,2015,6,252237,6
BRA,2015-07-15,2015,7,252396,7
BRA,2015-08-15,2015,8,244965,8
BRA,2015-09-15,2015,9,250847,9
BRA,2015-10-15,2015,10,239942,10
BRA,2015-11-15,2015,11,230670,11
BRA,2015-12-15,2015,12,242890,12
BRA,2016-01-15,2016,1,246385,13
BRA,2016-02-15,2016,2,241131,14
BRA,2016-03-15,2016,3,267248,15
BRA,2016-04-15,2016,4,256750,16
BRA,2016-05-15,2016,5,262411,17
BRA,2016-06-15,2016,6,246322,18
BRA,2016-07-15,2016,7,241192,19
BRA,2016-08-15,2016,8,232080,20
BRA,2016-09-15,2016,9,226497,21
BRA,2016-10-15,2016,10,217015,22
BRA,2016-11-15,2016,11,204073,23
BRA,2016-12-15,2016,12,216667,24
BRA,2017-01-15,2017,1,226413,25
BRA,2017-02-15,2017,2,223513,26
BRA,2017-03-15,2017,3,266963,27
BRA,2017-04-15,2017,4,252939,28
BRA,2017-05-15,2017,5,269773,29
BRA,2017-06-15,2017,6,254803,30
BRA,2017-07-15,2017,7,249004,31
BRA,2017-08-15,2017,8,244606,32
BRA,2017-09-15,2017,9,237642,33
BRA,2017-10-15,2017,10,233926,34
BRA,2017-11-15,2017,11,229577,35
BRA,2017-12-15,2017,12,234349,36
BRA,2018-01-15,2018,1,248732,37
BRA,2018-02-15,2018,2,230346,38
BRA,2018-03-15,2018,3,264342,39
BRA,2018-04-15,2018,4,262425,40
BRA,2018-05-15,2018,5,268721,41
BRA,2018-06-15,2018,6,245605,42
BRA,2018-07-15,2018,7,246705,43
BRA,2018-08-15,2018,8,243960,44
BRA,2018-09-15,2018,9,237042,45
BRA,2018-10-15,2018,10,237489,46
BRA,2018-11-15,2018,11,228566,47
BRA,2018-12-15,2018,12,230980,48
BRA,2019-01-15,2019,1,246046,49
BRA,2019-02-15,2019,2,232777,50
BRA,2019-03-15,2019,3,257869,51
BRA,2019-04-15,2019,4,250161,52
BRA,2019-05-15,2019,5,257063,53
BRA,2019-06-15,2019,6,236356,54
BRA,2019-07-15,2019,7,240490,55
BRA,2019-08-15,2019,8,233816,56
BRA,2019-09-15,2019,9,233286,57
BRA,2019-10-15,2019,10,225168,58
BRA,2019-11-15,2019,11,214454,59
BRA,2019-12-15,2019,12,221632,60
BRA,2020-01-15,2020,1,230863,61
BRA,2020-02-15,2020,2,220070,62
BRA,2020-03-15,2020,3,247189,63
BRA,2020-04-15,2020,4,242086,64
BRA,2020-05-15,2020,5,245067,65
BRA,2020-06-15,2020,6,228270,66
BRA,2020-07-15,2020,7,230899,67
BRA,2020-08-15,2020,8,220938,68
BRA,2020-09-15,2020,9,225385,69
BRA,2020-10-15,2020,10,215490,70
BRA,2020-11-15,2020,11,207495,71
