"Country","Year","Age","mx","Sex","class","Age_class","mx_c"
"A&M",1974,0,0.018116375,"Female",0,"0-0",0.018116375
"A&M",1974,0,0.020586352,"Male",0,"0-0",0.020586352
"A&M",1974,1,0.001096571,"Female",1,"1-4",0.00067044224895113
"A&M",1974,1,0.001369337,"Male",1,"1-4",0.0008678682930949
"A&M",1974,2,0.000736061,"Female",1,"1-4",0.00067044224895113
"A&M",1974,2,0.000933616,"Male",1,"1-4",0.0008678682930949
"A&M",1974,3,0.000495933,"Female",1,"1-4",0.00067044224895113
"A&M",1974,3,0.000660408,"Male",1,"1-4",0.0008678682930949
"A&M",1974,4,0.000351322,"Female",1,"1-4",0.00067044224895113
"A&M",1974,4,0.000517444,"Male",1,"1-4",0.0008678682930949
"A&M",1974,5,0.000319761,"Female",2,"5-9",0.000267229539482962
"A&M",1974,5,0.000530221,"Male",2,"5-9",0.000553463381709373
"A&M",1974,6,0.000313069,"Female",2,"5-9",0.000267229539482962
"A&M",1974,6,0.000570243,"Male",2,"5-9",0.000553463381709373
"A&M",1974,7,0.000272877,"Female",2,"5-9",0.000267229539482962
"A&M",1974,7,0.000587222,"Male",2,"5-9",0.000553463381709373
"A&M",1974,8,0.00024544,"Female",2,"5-9",0.000267229539482962
"A&M",1974,8,0.000567581,"Male",2,"5-9",0.000553463381709373
"A&M",1974,9,0.000191748,"Female",2,"5-9",0.000267229539482962
"A&M",1974,9,0.000513992,"Male",2,"5-9",0.000553463381709373
"A&M",1974,10,0.000175135,"Female",3,"10-14",0.000269404570956703
"A&M",1974,10,0.000492111,"Male",3,"10-14",0.000499830937104226
"A&M",1974,11,0.000222045,"Female",3,"10-14",0.000269404570956703
"A&M",1974,11,0.000482166,"Male",3,"10-14",0.000499830937104226
"A&M",1974,12,0.000284671,"Female",3,"10-14",0.000269404570956703
"A&M",1974,12,0.000479555,"Male",3,"10-14",0.000499830937104226
"A&M",1974,13,0.000326903,"Female",3,"10-14",0.000269404570956703
"A&M",1974,13,0.000485248,"Male",3,"10-14",0.000499830937104226
"A&M",1974,14,0.000339037,"Female",3,"10-14",0.000269404570956703
"A&M",1974,14,0.000561358,"Male",3,"10-14",0.000499830937104226
"A&M",1974,15,0.000306167,"Female",4,"15-19",0.000312427370999848
"A&M",1974,15,0.000677149,"Male",4,"15-19",0.000864499315380058
"A&M",1974,16,0.000268606,"Female",4,"15-19",0.000312427370999848
"A&M",1974,16,0.000813351,"Male",4,"15-19",0.000864499315380058
"A&M",1974,17,0.000274708,"Female",4,"15-19",0.000312427370999848
"A&M",1974,17,0.000920814,"Male",4,"15-19",0.000864499315380058
"A&M",1974,18,0.000329034,"Female",4,"15-19",0.000312427370999848
"A&M",1974,18,0.000964795,"Male",4,"15-19",0.000864499315380058
"A&M",1974,19,0.000383413,"Female",4,"15-19",0.000312427370999848
"A&M",1974,19,0.000945737,"Male",4,"15-19",0.000864499315380058
"A&M",1974,20,0.000431643,"Female",5,"20-24",0.00042200602388574
"A&M",1974,20,0.000985475,"Male",5,"20-24",0.000988972337611969
"A&M",1974,21,0.000459436,"Female",5,"20-24",0.00042200602388574
"A&M",1974,21,0.0009797,"Male",5,"20-24",0.000988972337611969
"A&M",1974,22,0.000434204,"Female",5,"20-24",0.00042200602388574
"A&M",1974,22,0.000964195,"Male",5,"20-24",0.000988972337611969
"A&M",1974,23,0.000393077,"Female",5,"20-24",0.00042200602388574
"A&M",1974,23,0.000986156,"Male",5,"20-24",0.000988972337611969
"A&M",1974,24,0.000392457,"Female",5,"20-24",0.00042200602388574
"A&M",1974,24,0.001027348,"Male",5,"20-24",0.000988972337611969
"A&M",1974,25,0.000421529,"Female",6,"25-29",0.000564043052882265
"A&M",1974,25,0.001028989,"Male",6,"25-29",0.000980581084916592
"A&M",1974,26,0.00049011,"Female",6,"25-29",0.000564043052882265
"A&M",1974,26,0.001012012,"Male",6,"25-29",0.000980581084916592
"A&M",1974,27,0.000614479,"Female",6,"25-29",0.000564043052882265
"A&M",1974,27,0.00095893,"Male",6,"25-29",0.000980581084916592
"A&M",1974,28,0.00067771,"Female",6,"25-29",0.000564043052882265
"A&M",1974,28,0.000902297,"Male",6,"25-29",0.000980581084916592
"A&M",1974,29,0.000674658,"Female",6,"25-29",0.000564043052882265
"A&M",1974,29,0.000983744,"Male",6,"25-29",0.000980581084916592
"A&M",1974,30,0.000642056,"Female",7,"30-34",0.000757897076999001
"A&M",1974,30,0.001188446,"Male",7,"30-34",0.00127223040635159
"A&M",1974,31,0.000621963,"Female",7,"30-34",0.000757897076999001
